GameType,Season,Team,G,Date,Home,Opp,W.L,Tm.Pts,Opp.Pts,Tm.FGM,Tm.FGA,Tm.FG_Perc,Tm.3PM,Tm.3PA,Tm.3P_Perc,Tm.FTM,Tm.FTA,Tm.FT_Perc,Tm.ORB,Tm.TRB,Tm.AST,Tm.STL,Tm.BLK,Tm.TOV,Tm.PF,Home.Attendance,Referee1,Referee2,Referee3,Referee4
RegularSeason,2010,ATL,1,10/28/09,1,IND,W,120,109,46,87,0.529,7,12,0.583,21,29,0.724,8,35,30,16,6,10,25,17998,Mike Callahan,Olandis Poole,Zach Zarba,NA
RegularSeason,2010,ATL,2,10/30/09,1,WAS,W,100,89,32,78,0.41,5,20,0.25,31,34,0.912,11,47,18,5,7,12,24,17079,Kevin Fehr,Derrick Stafford,Gary Zielinski,NA
RegularSeason,2010,ATL,3,11/1/09,0,LAL,L,110,118,40,89,0.449,7,23,0.304,23,26,0.885,14,40,21,8,3,19,21,18997,James Capers,Bob Delaney,Mark Lindsay,NA
RegularSeason,2010,ATL,4,11/3/09,0,POR,W,97,91,37,80,0.463,5,15,0.333,18,22,0.818,11,46,21,4,7,11,15,20325,Matt Boland,Violet Palmer,Bennett Salvatore,NA
RegularSeason,2010,ATL,5,11/4/09,0,SAC,W,113,105,46,85,0.541,6,16,0.375,15,19,0.789,12,47,17,2,10,16,20,11751,Tony Brothers,Phil Robinson,Eddie F. Rush,NA
RegularSeason,2010,ATL,6,11/6/09,0,CHA,L,83,103,33,83,0.398,2,16,0.125,15,23,0.652,7,35,10,7,11,7,20,15874,Eric Dalen,Ron Garretson,Michael Smith,NA
RegularSeason,2010,ATL,7,11/7/09,1,DEN,W,125,100,45,87,0.517,8,19,0.421,27,30,0.9,8,44,30,4,9,8,33,17801,Mark Ayotte,Eric Lewis,Monty McCutchen,NA
RegularSeason,2010,ATL,8,11/11/09,0,NYK,W,114,101,44,81,0.543,6,13,0.462,20,24,0.833,9,42,23,7,3,15,19,19699,James Capers,Joe Crawford,Mark Lindsay,NA
RegularSeason,2010,ATL,9,11/13/09,0,BOS,W,97,86,38,84,0.452,4,15,0.267,17,23,0.739,16,47,19,7,6,13,20,18624,Derrick Collins,Monty McCutchen,Olandis Poole,NA
RegularSeason,2010,ATL,10,11/14/09,1,NOH,W,121,98,48,88,0.545,7,20,0.35,18,29,0.621,17,48,27,10,3,14,19,18572,Bennie Adams,Phil Robinson,Eddie F. Rush,NA
RegularSeason,2010,ATL,11,11/16/09,1,POR,W,99,95,39,91,0.429,5,18,0.278,16,20,0.8,15,47,20,7,5,14,17,12977,Steve Javie,Haywoode Workman,Gary Zielinski,NA
RegularSeason,2010,ATL,12,11/18/09,1,MIA,W,105,90,38,89,0.427,8,20,0.4,21,28,0.75,15,43,23,7,6,8,19,18729,Matt Boland,Ron Garretson,Marat Kogut,NA
RegularSeason,2010,ATL,13,11/20/09,1,HOU,W,105,103,39,78,0.5,8,20,0.4,19,26,0.731,15,39,21,6,11,15,22,16674,Dick Bavetta,Joe Forte,Derek Richardson,NA
RegularSeason,2010,ATL,14,11/21/09,0,NOH,L,88,96,35,94,0.372,4,22,0.182,14,17,0.824,20,52,15,5,7,6,17,15933,Dan Crawford,John Goble,Scott Wall,NA
RegularSeason,2010,ATL,15,11/26/09,1,ORL,L,76,93,33,85,0.388,7,19,0.368,3,7,0.429,11,41,18,8,3,13,20,19193,Eric Dalen,Marc Davis,Mark Wunderlich,NA
RegularSeason,2010,ATL,16,11/27/09,0,PHI,W,100,86,38,74,0.514,9,18,0.5,15,20,0.75,8,42,17,7,5,14,17,12984,Kane Fitzgerald,Steve Javie,Michael Smith,NA
RegularSeason,2010,ATL,17,11/29/09,0,DET,L,88,94,37,74,0.5,7,21,0.333,7,8,0.875,6,27,16,7,9,13,19,15273,David Guthrie,David Jones,Derrick Stafford,NA
RegularSeason,2010,ATL,18,12/2/09,1,TOR,W,146,115,52,88,0.591,11,21,0.524,31,39,0.795,15,51,37,5,6,9,26,12272,Jason Phillips,Eli Roe,Bennett Salvatore,NA
RegularSeason,2010,ATL,19,12/4/09,1,NYK,L,107,114,41,90,0.456,4,23,0.174,21,29,0.724,18,42,21,6,2,6,16,17165,Mark Ayotte,James Capers,Bob Delaney,NA
RegularSeason,2010,ATL,20,12/5/09,0,DAL,W,80,75,32,89,0.36,2,13,0.154,14,22,0.636,16,50,16,9,3,8,22,19550,Bennie Adams,Dick Bavetta,Michael Smith,NA
RegularSeason,2010,ATL,21,12/9/09,1,CHI,W,118,83,44,88,0.5,9,24,0.375,21,28,0.75,10,43,32,12,6,8,24,16808,Monty McCutchen,Rodney Mott,Leroy Richardson,NA
RegularSeason,2010,ATL,22,12/11/09,0,TOR,W,111,89,43,83,0.518,9,18,0.5,16,19,0.842,13,37,25,10,4,12,19,17032,Joe Derosa,David Guthrie,Courtney Kirkland,NA
RegularSeason,2010,ATL,23,12/13/09,1,NJN,W,130,107,49,92,0.533,11,17,0.647,21,29,0.724,16,51,32,12,3,12,17,14015,Kevin Fehr,Tommy Nunez,Greg Willard,NA
RegularSeason,2010,ATL,24,12/16/09,1,MEM,W,110,97,45,93,0.484,6,16,0.375,14,18,0.778,19,43,26,13,7,14,20,13013,Brian Forte,Ken Mauer,Gary Zielinski,NA
RegularSeason,2010,ATL,25,12/18/09,1,UTA,W,96,83,37,83,0.446,6,20,0.3,16,25,0.64,9,39,26,13,4,11,20,17501,James Capers,Jason Phillips,Olandis Poole,NA
RegularSeason,2010,ATL,26,12/19/09,0,CHI,L,98,101,36,87,0.414,8,19,0.421,18,20,0.9,12,41,15,6,7,13,25,21381,Bennie Adams,Ron Garretson,Eli Roe,NA
RegularSeason,2010,ATL,27,12/22/09,0,MIN,W,112,87,43,88,0.489,9,20,0.45,17,25,0.68,13,39,22,12,4,10,29,11271,Scott Foster,John Goble,Marat Kogut,NA
RegularSeason,2010,ATL,28,12/23/09,0,DEN,L,104,124,38,79,0.481,8,23,0.348,20,24,0.833,6,40,21,2,4,14,20,19155,Marc Davis,Joe Forte,Derek Richardson,NA
RegularSeason,2010,ATL,29,12/26/09,0,IND,W,110,98,40,79,0.506,6,18,0.333,24,31,0.774,3,37,19,12,11,10,14,15281,Tony Brothers,Phil Robinson,Mark Wunderlich,NA
RegularSeason,2010,ATL,30,12/29/09,1,CLE,L,84,95,31,70,0.443,6,15,0.4,16,26,0.615,5,30,19,10,5,16,16,20150,Bob Delaney,Rodney Mott,Leroy Richardson,NA
RegularSeason,2010,ATL,31,12/30/09,0,CLE,L,101,106,40,83,0.482,7,16,0.438,14,15,0.933,9,41,22,5,5,11,24,20562,Courtney Kirkland,Ed Malloy,Ken Mauer,NA
RegularSeason,2010,ATL,32,1/1/10,1,NYK,L,108,112,46,100,0.46,7,27,0.259,9,14,0.643,17,48,26,7,7,10,18,17366,Matt Boland,Joe Crawford,Derek Richardson,NA
RegularSeason,2010,ATL,33,1/4/10,0,MIA,L,75,92,25,71,0.352,3,14,0.214,22,29,0.759,7,30,11,2,3,9,18,16500,Sean Corbin,Kevin Fehr,Greg Willard,NA
RegularSeason,2010,ATL,34,1/6/10,1,NJN,W,119,89,43,75,0.573,13,22,0.591,20,21,0.952,8,42,33,9,2,17,21,11219,Mike Callahan,David Guthrie,Mark Lindsay,NA
RegularSeason,2010,ATL,35,1/8/10,1,BOS,W,93,85,38,77,0.494,8,16,0.5,9,13,0.692,10,39,25,10,2,15,21,15149,Derrick Collins,Scott Wall,Tom Washington,NA
RegularSeason,2010,ATL,36,1/9/10,0,ORL,L,81,113,31,78,0.397,4,17,0.235,15,25,0.6,9,35,12,3,3,16,20,17461,Curtis Blair,Bill Kennedy,Jason Phillips,NA
RegularSeason,2010,ATL,37,1/11/10,0,BOS,W,102,96,35,77,0.455,9,16,0.563,23,33,0.697,9,30,18,7,5,7,16,18624,Marc Davis,Kane Fitzgerald,Bennett Salvatore,NA
RegularSeason,2010,ATL,38,1/13/10,1,WAS,W,94,82,37,85,0.435,6,21,0.286,14,20,0.7,15,49,26,5,7,7,19,9695,Tony Brown,Dan Crawford,Ed Malloy,NA
RegularSeason,2010,ATL,39,1/15/10,1,PHO,W,102,101,37,90,0.411,5,23,0.217,23,28,0.821,20,50,25,2,7,13,25,17605,Marat Kogut,Ken Mauer,Rodney Mott,NA
RegularSeason,2010,ATL,40,1/18/10,1,OKC,L,91,94,36,90,0.4,4,16,0.25,15,21,0.714,18,44,27,3,3,8,21,14666,Bob Delaney,Jason Phillips,Olandis Poole,NA
RegularSeason,2010,ATL,41,1/20/10,1,SAC,W,108,97,40,78,0.513,5,14,0.357,23,28,0.821,11,41,29,6,7,15,17,14809,Brian Forte,John Goble,Monty McCutchen,NA
RegularSeason,2010,ATL,42,1/22/10,1,CHA,W,103,89,42,82,0.512,5,17,0.294,14,14,1,12,32,32,6,2,12,21,14701,Bill Kennedy,Eric Lewis,Mark Lindsay,NA
RegularSeason,2010,ATL,43,1/25/10,0,HOU,W,102,95,39,82,0.476,9,24,0.375,15,19,0.789,11,45,13,5,7,12,24,14998,Pat Fraher,Haywoode Workman,Mark Wunderlich,NA
RegularSeason,2010,ATL,44,1/27/10,0,SAS,L,90,105,35,88,0.398,5,20,0.25,15,24,0.625,12,45,15,6,4,7,21,18258,Curtis Blair,Derrick Collins,Monty McCutchen,NA
RegularSeason,2010,ATL,45,1/29/10,1,BOS,W,100,91,37,78,0.474,6,15,0.4,20,27,0.741,7,39,15,10,4,14,23,18732,Matt Boland,Tony Brothers,Eli Roe,NA
RegularSeason,2010,ATL,46,1/30/10,0,ORL,L,86,104,32,81,0.395,7,21,0.333,15,20,0.75,5,34,16,6,4,9,25,17461,Joe Derosa,David Guthrie,Courtney Kirkland,NA
RegularSeason,2010,ATL,47,2/2/10,0,OKC,L,99,106,36,75,0.48,6,14,0.429,21,25,0.84,9,35,16,2,4,10,24,17360,Kevin Fehr,Haywoode Workman,Mark Wunderlich,NA
RegularSeason,2010,ATL,48,2/3/10,1,LAC,W,103,97,36,79,0.456,6,14,0.429,25,28,0.893,6,42,22,9,2,9,15,13303,Mark Ayotte,Mike Callahan,Leroy Richardson,NA
RegularSeason,2010,ATL,49,2/5/10,1,CHI,W,91,81,39,88,0.443,8,18,0.444,5,11,0.455,14,44,21,5,2,8,21,18729,Tony Brown,John Goble,Greg Willard,NA
RegularSeason,2010,ATL,50,2/9/10,0,MEM,W,108,94,41,74,0.554,7,16,0.438,19,25,0.76,10,37,25,10,3,15,17,10491,Mike Callahan,Bill Kennedy,Rodney Mott,NA
RegularSeason,2010,ATL,51,2/10/10,1,MIA,L,76,94,27,72,0.375,4,19,0.211,18,25,0.72,12,35,20,8,4,14,13,17074,Bob Delaney,Mark Lindsay,Jason Phillips,NA
RegularSeason,2010,ATL,52,2/17/10,0,LAC,W,110,92,43,79,0.544,0,7,0,24,33,0.727,8,32,27,16,5,8,16,15485,Dan Crawford,Marat Kogut,Leon Wood,NA
RegularSeason,2010,ATL,53,2/19/10,0,PHO,L,80,88,30,76,0.395,3,14,0.214,17,25,0.68,9,36,12,8,6,15,17,18266,Derrick Collins,Joe Crawford,Scott Wall,NA
RegularSeason,2010,ATL,54,2/21/10,0,GSW,L,104,108,40,88,0.455,5,15,0.333,19,28,0.679,13,43,23,9,5,14,19,17822,Dick Bavetta,Matt Boland,Kane Fitzgerald,NA
RegularSeason,2010,ATL,55,2/22/10,0,UTA,W,105,100,39,72,0.542,8,16,0.5,19,25,0.76,7,33,21,6,5,8,20,19911,Bob Delaney,Mark Lindsay,Zach Zarba,NA
RegularSeason,2010,ATL,56,2/24/10,1,MIN,W,98,92,33,81,0.407,4,14,0.286,28,32,0.875,12,46,23,5,7,13,16,15059,Tony Brothers,Eric Lewis,Haywoode Workman,NA
RegularSeason,2010,ATL,57,2/26/10,1,DAL,L,103,111,38,95,0.4,9,26,0.346,18,21,0.857,15,41,32,10,6,7,11,18923,Bennie Adams,Eric Dalen,Mark Wunderlich,NA
RegularSeason,2010,ATL,58,2/28/10,1,MIL,W,106,102,39,90,0.433,3,13,0.231,25,30,0.833,14,47,21,10,3,12,23,16381,Derek Richardson,Phil Robinson,Bill Spooner,NA
RegularSeason,2010,ATL,59,3/1/10,0,CHI,W,116,92,43,96,0.448,6,18,0.333,24,30,0.8,22,63,23,8,3,8,15,19011,Mark Ayotte,Curtis Blair,Joe Crawford,NA
RegularSeason,2010,ATL,60,3/3/10,1,PHI,W,112,93,42,84,0.5,8,20,0.4,20,27,0.741,13,47,23,11,6,15,21,15408,Scott Foster,Ed Malloy,Sean Wright,NA
RegularSeason,2010,ATL,61,3/5/10,1,GSW,W,127,122,44,83,0.53,9,18,0.5,30,40,0.75,19,47,27,8,3,8,26,14066,Marc Davis,Olandis Poole,Bennett Salvatore,NA
RegularSeason,2010,ATL,62,3/6/10,0,MIA,L,94,100,31,78,0.397,9,24,0.375,23,25,0.92,13,45,20,3,3,13,19,19600,Tony Brown,John Goble,Ken Mauer,NA
